CampaignID,GoalAmount,RaisedAmount,DurationDays,NumBackers,Category,LaunchMonth,Country,Currency,OwnerExperience,VideoIncluded,SocialMediaPresence,NumUpdates,IsSuccessful
CID_00045,76456,52882.64535651650,63,57,Film,May,USA,AUD,19,No,27232,31,0
CID_00046,29698,43698.07427106220,25,1745,Film,November,Australia,CAD,19,No,97147,31,1
CID_00047,32378,16872.361598421500,26,1241,Film,June,Germany,CAD,9,No,46049,7,0
CID_00048,95828,61765.312108867700,70,466,Technology,December,USA,EUR,7,No,41248,1,0
CID_00049,83339,52159.937960296300,43,218,Film,May,Canada,USD,10,Yes,77784,18,0
CID_00050,95442,116507.37370332400,32,989,Film,April,UK,AUD,7,Yes,14847,31,1
CID_00051,92268,137709.11676466800,42,403,Games,June,Australia,AUD,14,No,43293,4,1
CID_00052,30585,32071.29519220650,16,762,Games,October,Germany,EUR,8,Yes,50917,41,1
CID_00053,51479,45953.77299262240,24,1514,Film,April,Canada,GBP,11,Yes,50704,31,0
CID_00054,20245,15351.631360850600,54,1616,Music,August,USA,EUR,18,No,40223,26,0
CID_00055,89607,98023.80174268410,86,1450,Music,July,Australia,USD,4,No,56870,10,1
CID_00056,31255,35854.80014286120,40,175,Technology,September,Canada,EUR,17,No,50743,22,1
CID_00057,60929,68705.00225461010,76,1012,Music,July,Australia,GBP,18,Yes,65573,47,1
CID_00058,63697,77525.36426432360,52,1041,Film,February,Germany,EUR,11,Yes,36243,23,1
CID_00059,3946,2860.3476080420300,41,633,Art,September,Australia,AUD,18,No,78849,48,0
CID_00060,58245,67999.61971889340,59,712,Games,December,USA,AUD,12,Yes,94812,36,1
CID_00061,36231,51124.18998110980,81,1979,Art,April,UK,USD,12,No,33274,44,1
CID_00062,73300,100886.58012877200,31,1899,Film,October,USA,CAD,4,Yes,29558,9,1
CID_00063,17202,13667.64916140060,57,1239,Games,June,UK,EUR,4,No,45512,23,0
CID_00064,41734,54368.82697123360,25,1945,Art,August,Canada,AUD,13,No,45154,25,1
CID_00065,31363,19668.996980980800,24,1191,Film,April,UK,GBP,15,No,96451,47,0
CID_00066,67191,82917.18628325140,18,1271,Art,July,Canada,CAD,4,No,34909,0,1
CID_00067,81570,69850.32628569990,17,835,Games,December,UK,USD,7,No,77183,7,0
CID_00068,37336,38439.84732054580,65,655,Games,November,UK,USD,9,Yes,7803,43,1
CID_00069,80211,112753.52292353800,59,1168,Film,June,Germany,AUD,6,Yes,92820,31,1
CID_00070,81749,117270.62813398100,52,1252,Art,February,Canada,CAD,9,No,13850,30,1
CID_00071,89104,130034.9407470520,86,874,Games,May,USA,EUR,8,No,45283,47,1
CID_00072,54357,53170.09783019760,69,1478,Music,November,Australia,CAD,2,No,15395,9,0
CID_00073,23424,27152.113855549000,29,1778,Games,September,Canada,USD,0,Yes,94494,48,1
CID_00074,87110,99618.97364125610,30,1007,Games,August,Canada,CAD,3,No,14639,47,1
CID_00075,86716,102124.3548355080,66,726,Film,July,UK,USD,6,Yes,43399,29,1
CID_00076,43625,31518.696754133000,30,1862,Music,February,Canada,CAD,16,Yes,3335,13,0
CID_00077,95828,71210.36161419830,58,885,Art,July,USA,USD,15,Yes,42532,31,0
CID_00078,47633,45439.395594048400,49,717,Art,October,Canada,USD,8,Yes,10445,44,0
CID_00079,61383,86349.44167003800,85,1940,Games,July,Canada,USD,18,Yes,57018,13,1
CID_00080,81844,98227.3649615505,67,391,Games,September,USA,GBP,5,Yes,70043,0,1
CID_00081,2387,3072.358188664180,51,1926,Music,April,Germany,USD,1,No,30675,42,1
CID_00082,29150,39409.31111330620,66,1752,Music,March,UK,AUD,8,Yes,57859,28,1
CID_00083,61577,39171.81576223900,72,1663,Technology,March,UK,GBP,13,Yes,48046,39,0
CID_00084,78839,61928.01524750330,84,1842,Technology,May,Australia,USD,8,Yes,7601,6,0
CID_00085,69956,74233.25559236440,34,462,Games,June,USA,GBP,10,Yes,85292,35,1
CID_00086,16590,22449.292878629100,63,1884,Film,July,Australia,AUD,15,No,14561,47,1
CID_00087,56133,33139.854544754200,84,100,Technology,September,Australia,USD,1,Yes,41116,37,0
CID_00088,6073,3866.602441403140,46,103,Games,April,Germany,GBP,18,Yes,51035,49,0
CID_00089,46827,33342.03876723140,62,1293,Film,February,USA,CAD,2,No,35123,24,0
CID_00090,39174,42820.72354861360,88,1550,Music,January,USA,CAD,12,Yes,97256,47,1
CID_00091,31505,44126.080565723500,62,86,Games,September,Canada,USD,7,No,66038,19,1
CID_00092,87320,120909.46692579500,29,1543,Film,May,Germany,USD,12,Yes,47226,35,1
CID_00093,27170,31122.77538339100,20,1584,Games,January,Australia,GBP,13,No,45833,19,1
CID_00094,97607,106457.36959824000,49,122,Games,June,Germany,USD,15,No,14687,24,1
CID_00095,98814,110654.54706984700,42,1048,Technology,May,UK,EUR,4,No,29115,49,1
CID_00096,24776,17301.20344942520,31,1156,Games,February,UK,GBP,10,Yes,54474,31,0
CID_00097,19242,10878.888117728100,51,1913,Music,January,USA,EUR,4,No,2351,41,0
CID_00098,10554,7523.777548906740,54,1220,Art,September,Canada,AUD,14,No,73112,19,0
CID_00099,48235,54536.14601283380,73,1578,Film,November,Germany,CAD,11,No,65612,39,1
CID_00100,1581,982.2076244075290,41,556,Art,June,Australia,CAD,17,No,78287,25,0
CID_00101,51531,45898.17990868810,39,1982,Technology,August,Canada,EUR,0,Yes,27599,35,0
CID_00102,38416,39827.90804145980,48,1543,Technology,July,Germany,GBP,12,Yes,79285,27,1
CID_00103,52341,69787.62963581570,32,1309,Music,November,Australia,GBP,15,No,61952,36,1
CID_00104,33414,24989.93529580250,30,1231,Technology,January,Canada,AUD,18,Yes,3492,33,0
CID_00105,50989,60973.10224819300,63,470,Art,May,Germany,EUR,11,No,36301,22,1
CID_00106,19290,20523.668536623000,40,285,Games,October,Canada,EUR,12,No,62631,7,1
CID_00107,8441,8120.342473980850,57,1598,Games,September,Australia,AUD,4,Yes,52398,13,0
CID_00108,94586,129485.9793768870,84,219,Film,September,UK,AUD,6,Yes,17284,14,1
CID_00109,95207,57187.68809344690,44,1302,Music,February,USA,USD,7,Yes,85908,10,0
CID_00110,40405,27116.31534216000,48,1148,Film,April,Canada,AUD,3,Yes,81206,48,0
CID_00111,16174,20144.938511879600,52,915,Film,August,USA,CAD,14,Yes,14824,22,1
CID_00112,31661,45808.4963425628,58,1295,Art,September,Germany,GBP,9,Yes,28278,48,1
CID_00113,71858,95976.0721874851,32,638,Film,December,Germany,EUR,9,No,48836,43,1
CID_00114,4673,3306.949763608080,32,418,Technology,May,UK,EUR,9,Yes,45950,3,0
CID_00115,41782,33751.7413567294,20,478,Technology,January,USA,USD,15,Yes,92780,20,0
CID_00116,45829,35537.54169445580,30,958,Games,September,Germany,USD,0,Yes,79464,16,0
CID_00117,85048,71816.44735433690,80,713,Games,January,USA,CAD,18,No,458,38,0
CID_00118,10964,10271.461571968600,48,955,Technology,June,Canada,EUR,9,Yes,20705,7,0
CID_00119,25669,25858.12117654180,52,1023,Film,August,Canada,CAD,17,Yes,37387,21,1
CID_00120,31667,43284.42331925930,69,202,Technology,June,UK,GBP,16,Yes,20643,47,1
CID_00121,73451,108987.93691956800,37,1628,Art,September,USA,CAD,8,Yes,58555,48,1
CID_00122,70833,55597.30117917580,22,291,Art,November,Canada,USD,11,No,79500,14,0
CID_00123,43872,57530.63157111480,60,1147,Film,March,USA,AUD,6,Yes,87493,45,1
CID_00124,26517,28514.94505900020,88,1597,Music,October,Germany,EUR,7,Yes,28374,36,1
CID_00125,90221,59370.852604015500,50,1823,Technology,September,Australia,CAD,17,No,67761,25,0
CID_00126,60425,81235.34051872080,71,702,Music,October,Australia,EUR,13,No,23489,10,1
CID_00127,11070,16258.502793099300,80,193,Film,October,Canada,EUR,2,No,15172,0,1
CID_00128,81156,98499.41474641370,75,806,Music,January,Australia,EUR,4,Yes,2903,14,1
CID_00129,63661,54602.22483325,73,289,Film,January,Australia,CAD,0,Yes,47397,36,0
CID_00130,19513,21190.00408367440,72,155,Music,February,UK,GBP,13,Yes,83240,30,1
CID_00131,82445,82497.34836169060,50,515,Music,October,USA,AUD,5,No,97772,20,1
CID_00132,22260,12731.397465819500,28,1464,Games,October,USA,EUR,9,No,28277,41,0
CID_00133,86377,98751.89781476480,61,183,Technology,May,Germany,GBP,14,No,89196,14,1
CID_00134,35846,49134.4438091571,62,1549,Games,February,Canada,AUD,19,Yes,81535,24,1
CID_00135,16891,18716.612149534300,79,1352,Film,December,Canada,EUR,18,Yes,25208,23,1
CID_00136,69898,74686.32550152940,75,372,Film,April,Germany,AUD,16,Yes,27821,24,1
CID_00137,2222,1606.2171075767600,78,1909,Art,June,UK,CAD,19,No,94813,11,0
CID_00138,11178,5598.175695271310,26,253,Art,April,Australia,USD,11,Yes,50896,10,0
CID_00139,79642,47114.97962752350,31,817,Technology,January,USA,GBP,13,No,43999,39,0
CID_00140,34617,30534.76106820660,87,1194,Film,December,Australia,AUD,1,No,58459,8,0
CID_00141,52840,60905.0727041201,35,1375,Music,March,Canada,AUD,1,No,87678,1,1
CID_00142,80203,116313.34555263300,57,1382,Art,February,Australia,AUD,19,Yes,25009,17,1
CID_00143,69470,76608.86362322840,87,368,Art,January,Germany,EUR,10,No,64805,14,1
CID_00144,54320,41547.096519168500,60,411,Technology,December,UK,GBP,5,No,93189,27,0
CID_00145,47693,40439.22751704500,49,559,Film,March,USA,EUR,13,Yes,48855,40,0
CID_00146,28155,38153.71861471140,47,552,Technology,September,UK,AUD,18,Yes,90269,33,1
CID_00147,8047,9088.919345714830,23,129,Games,January,Canada,USD,2,Yes,71151,26,1
CID_00148,58257,81123.07018031900,67,1641,Games,April,Germany,GBP,4,No,54948,29,1
CID_00149,27128,13817.22402448140,39,961,Art,April,UK,GBP,19,No,93975,49,0
CID_00150,32222,18894.3969765827,69,1748,Music,February,USA,USD,16,No,45881,29,0
CID_00151,50582,35362.1803472022,45,1585,Music,March,Canada,EUR,6,No,3518,3,0
CID_00152,16530,14779.254330103900,82,125,Film,September,UK,EUR,14,No,31374,19,0
CID_00153,99354,115774.2563400680,15,1887,Technology,November,Canada,USD,19,Yes,6600,19,1
CID_00154,22173,27314.63411537410,48,1737,Music,January,Germany,USD,2,No,1343,15,1
CID_00155,42975,31725.58890883670,43,181,Film,November,UK,EUR,10,Yes,75621,45,0
CID_00156,17006,17737.565089133000,64,991,Music,November,Canada,EUR,15,No,89751,14,1
CID_00157,23767,22782.28431024610,27,1402,Art,July,USA,GBP,1,No,46322,20,0
CID_00158,84474,118713.16913729200,36,143,Film,June,Germany,CAD,19,No,43978,27,1
CID_00159,11576,6357.484297960600,32,1624,Art,December,UK,GBP,18,Yes,97879,12,0
CID_00160,88225,98316.23822875270,75,418,Games,February,Australia,CAD,8,Yes,25748,46,1
CID_00161,65212,92903.06228940080,55,1923,Film,January,Canada,EUR,13,Yes,3510,44,1
CID_00162,52972,69562.19387493120,65,1377,Music,August,Canada,AUD,3,Yes,71359,0,1
CID_00163,68088,97731.65330813870,48,582,Art,March,Canada,AUD,15,Yes,66411,0,1
CID_00164,44666,30348.84062934200,75,1010,Music,December,UK,CAD,11,Yes,12927,43,0
CID_00165,51195,30693.05173900740,20,375,Film,November,Germany,AUD,7,Yes,27092,30,0
CID_00166,95763,123620.19031670500,16,355,Technology,December,UK,CAD,8,Yes,27214,32,1
CID_00167,79193,58653.61664931800,19,747,Music,July,USA,GBP,14,No,59161,32,0
CID_00168,17960,21225.08971783620,55,1805,Technology,August,Canada,USD,10,No,11566,18,1
CID_00169,46960,31845.40593321700,74,419,Technology,September,UK,GBP,8,No,22490,11,0
CID_00170,60750,68141.98195568820,33,653,Games,July,Australia,GBP,14,No,10390,22,1
CID_00171,44423,39158.04076477900,72,1888,Games,February,Canada,USD,2,No,89717,3,0
CID_00172,82051,106266.11687552500,42,397,Art,July,USA,GBP,0,No,8815,36,1
CID_00173,81259,120708.5803694110,53,835,Music,January,UK,AUD,2,Yes,72465,49,1
CID_00174,81965,67533.1691287307,22,582,Art,April,UK,USD,9,Yes,49853,16,0
CID_00175,48560,28250.014057078700,75,1042,Music,April,UK,EUR,4,Yes,79894,31,0
CID_00176,78854,105300.68805341000,57,972,Technology,May,Australia,EUR,2,Yes,56565,49,1
CID_00177,67711,37933.33439100020,52,594,Technology,January,Germany,CAD,5,Yes,30168,34,0
CID_00178,3931,3333.788109164610,88,1706,Art,October,UK,CAD,13,Yes,80316,49,0
CID_00179,23150,17096.52356086720,85,133,Art,October,USA,GBP,6,Yes,66936,33,0
CID_00180,6703,5274.161484537820,34,356,Technology,April,UK,GBP,14,No,12452,1,0
CID_00181,15558,8759.863223860600,57,769,Art,August,Australia,CAD,16,No,24089,8,0
CID_00182,25853,16428.95673026270,78,684,Music,November,USA,EUR,19,Yes,8169,35,0
CID_00183,3605,3030.69837327747,37,1443,Games,May,Australia,USD,8,Yes,2948,16,0
CID_00184,4158,4224.40802230965,44,983,Games,February,Canada,CAD,7,No,84414,17,1
CID_00185,91927,97884.17327375120,44,996,Film,September,Australia,GBP,16,Yes,54074,27,1
CID_00186,47619,50814.53383242320,77,1809,Games,March,Australia,USD,19,No,8052,39,1
CID_00187,17989,19351.86291962740,83,139,Art,November,Australia,AUD,10,Yes,90700,46,1
CID_00188,22018,11919.50308945790,44,986,Film,July,Australia,EUR,19,No,81478,46,0
CID_00189,77714,92852.1922718317,32,1507,Film,December,UK,CAD,15,No,45916,30,1
CID_00190,49001,43287.7381675179,71,1803,Art,March,USA,EUR,19,Yes,70166,49,0
CID_00191,81108,40803.41814622870,66,1813,Music,December,UK,EUR,4,Yes,30642,1,0
CID_00192,79486,46902.7206137688,48,285,Art,February,UK,AUD,6,No,58888,29,0
CID_00193,51375,29854.44627959770,35,1898,Music,July,Canada,CAD,14,No,84206,40,0
CID_00194,85378,59470.32933101560,19,682,Technology,December,Germany,AUD,15,No,65833,17,0
CID_00195,60175,80217.35346071050,80,1875,Art,November,Australia,GBP,11,Yes,48328,4,1
CID_00196,51345,34140.399071849100,42,1137,Art,March,Canada,GBP,12,No,33105,27,0
CID_00197,34391,31096.607884294400,47,884,Music,February,Canada,USD,5,Yes,69739,36,0
CID_00198,26537,31681.61423823570,49,1186,Games,July,Australia,CAD,14,Yes,16750,6,1
CID_00199,46890,51859.25332947480,57,654,Film,June,Canada,CAD,5,Yes,68905,6,1
CID_00200,49050,40872.01802056480,70,74,Art,May,Australia,CAD,14,Yes,26141,44,0
CID_00201,82253,67560.7413005707,65,1965,Film,March,UK,AUD,1,Yes,24927,9,0
CID_00202,9059,4924.373537583200,63,627,Film,May,Germany,EUR,7,Yes,14945,18,0
CID_00203,82809,79738.17781695010,72,471,Film,December,Australia,USD,18,No,97028,34,0
CID_00204,92087,109940.50036057800,68,1566,Film,March,UK,GBP,7,Yes,37272,28,1
CID_00205,67266,40083.702749311400,88,634,Art,November,UK,AUD,8,No,22763,32,0
CID_00206,2813,3378.263546351940,77,766,Film,March,UK,EUR,10,No,79642,9,1
CID_00207,99180,104556.89754140200,71,400,Art,May,Germany,USD,8,No,24873,31,1
CID_00208,5320,4958.342082659360,69,358,Games,August,Germany,AUD,3,Yes,81100,9,0
CID_00209,48763,69565.70976942000,17,373,Technology,August,Canada,CAD,10,No,54039,29,1
CID_00210,72886,40433.09746584870,62,1945,Games,May,USA,USD,17,No,86902,33,0
CID_00211,4559,6626.134735918280,34,1349,Technology,April,UK,AUD,11,No,2737,26,1
CID_00212,82701,64110.999628293200,69,1130,Technology,October,Canada,AUD,18,Yes,70007,22,0
CID_00213,31866,40154.66767577510,82,154,Film,September,Canada,EUR,7,No,39941,11,1
CID_00214,72321,88105.08954840500,27,1849,Art,January,Canada,CAD,3,No,32245,10,1
CID_00215,74148,79299.93892852900,17,362,Music,January,USA,EUR,17,Yes,20975,48,1
CID_00216,84014,85639.43223815420,27,1355,Games,December,Canada,AUD,15,Yes,58084,47,1
CID_00217,8531,6867.291382332230,30,1796,Technology,March,UK,GBP,10,No,21398,36,0
CID_00218,47321,58505.64584696430,50,913,Music,November,Australia,EUR,9,No,48181,15,1
CID_00219,82025,78522.37924404320,35,268,Music,October,USA,GBP,12,Yes,63814,36,0
CID_00220,74362,90052.67166833660,35,488,Film,October,USA,AUD,1,No,10877,33,1
CID_00221,44266,65104.35059463840,16,626,Games,July,Canada,GBP,12,No,95827,25,1
CID_00222,78515,108517.52012590400,64,1195,Technology,September,Australia,USD,0,No,68167,31,1
CID_00223,26676,26736.16789899610,19,863,Games,December,Germany,EUR,7,Yes,79412,39,1
CID_00224,57863,36785.10016004760,54,1321,Music,September,Canada,GBP,4,No,86915,48,0
CID_00225,43992,26400.1377274359,75,1754,Film,February,USA,CAD,7,No,52580,10,0
CID_00226,87369,118798.65950996500,85,859,Games,September,Australia,EUR,3,No,95406,30,1
CID_00227,50424,41356.82765862810,83,62,Games,January,Canada,GBP,3,Yes,37338,24,0
CID_00228,95273,129045.59142493000,58,453,Technology,December,USA,CAD,7,No,66529,23,1
CID_00229,2177,2266.037844805160,29,40,Technology,March,Australia,USD,9,Yes,53648,38,1
CID_00230,70169,96457.1979003483,47,758,Technology,July,USA,USD,6,Yes,25075,34,1
CID_00231,91458,54861.3141832041,43,924,Music,September,UK,EUR,14,No,43532,6,0
CID_00232,97745,78916.63781540080,45,451,Games,December,UK,GBP,9,Yes,81753,19,0
CID_00233,30889,44854.56883572470,16,633,Games,July,Australia,EUR,12,Yes,55144,45,1
CID_00234,31939,46288.0200643624,80,461,Art,October,Germany,AUD,13,Yes,21850,10,1
CID_00235,86486,117251.88805990600,64,1279,Games,March,Australia,EUR,14,No,1075,24,1
CID_00236,15036,12087.92852562960,66,783,Film,June,USA,EUR,13,No,52305,8,0
CID_00237,16085,11784.04912149550,66,663,Art,April,UK,AUD,13,No,33121,15,0
CID_00238,18529,23070.375147663600,69,673,Games,December,UK,CAD,12,Yes,46971,35,1
CID_00239,57702,63527.3650789617,42,1264,Games,October,USA,EUR,2,Yes,75748,25,1
CID_00240,94661,66422.85582914630,51,1862,Music,February,UK,USD,7,No,27231,25,0
CID_00241,27053,34272.47795738880,34,178,Music,June,Canada,EUR,0,No,28845,14,1
CID_00242,92185,102036.9638079440,57,1070,Art,August,Germany,GBP,1,No,85528,3,1
CID_00243,78351,106801.7944744020,29,24,Music,August,Germany,EUR,17,Yes,4876,20,1
CID_00244,45144,63420.674456770300,81,1134,Art,October,Australia,EUR,13,No,58272,45,1
CID_00245,73814,61229.87432025120,15,1641,Art,February,USA,CAD,7,Yes,25956,14,0
CID_00246,3832,2188.1818064898200,78,950,Art,May,Germany,EUR,17,No,68694,45,0
CID_00247,79574,85883.60076651060,34,797,Art,September,UK,GBP,19,No,47003,11,1
CID_00248,81144,75276.78761292480,53,226,Games,November,USA,USD,1,No,37168,29,0
CID_00249,92766,83741.75894085860,78,105,Technology,December,Canada,EUR,1,Yes,94616,4,0
CID_00250,83720,109796.26829272000,27,1905,Music,June,Australia,GBP,15,No,41886,27,1
CID_00251,68627,46585.9222911948,17,1679,Art,April,UK,CAD,7,Yes,45838,19,0
CID_00252,79466,106728.28994885800,16,130,Film,May,USA,USD,7,No,48041,3,1
CID_00253,63778,91306.18054185830,35,1098,Film,January,Germany,AUD,14,Yes,28042,9,1
CID_00254,61660,85978.07925389190,68,1830,Games,March,Australia,EUR,15,Yes,50811,26,1
CID_00255,83393,88760.94808246670,57,318,Film,November,USA,AUD,8,Yes,34132,38,1
CID_00256,89021,72431.25245371430,59,388,Music,January,UK,AUD,9,Yes,37163,2,0
CID_00257,86699,94931.96717532720,82,1287,Technology,March,Australia,EUR,7,Yes,11882,49,1
CID_00258,23306,19001.506861648400,79,41,Games,August,Australia,CAD,6,No,25940,30,0
CID_00259,26105,34846.5148700044,70,1702,Art,April,Germany,GBP,3,Yes,12155,31,1
CID_00260,1147,1608.890103196130,27,1774,Film,October,Germany,GBP,11,Yes,73121,41,1
CID_00261,11250,16844.653701725200,41,1758,Film,June,USA,EUR,10,Yes,49234,14,1
CID_00262,94215,118766.58193905500,80,580,Technology,September,Australia,GBP,15,No,77478,42,1
CID_00263,35037,37643.53085704580,74,358,Music,April,UK,EUR,13,Yes,93131,14,1
CID_00264,48181,32447.526361990200,44,1198,Art,January,Australia,USD,13,Yes,27377,13,0
CID_00265,66432,92296.7389502675,55,563,Film,August,Australia,EUR,8,No,69678,16,1
CID_00266,24772,33087.66150323020,40,1359,Music,February,Australia,GBP,1,Yes,17713,18,1
CID_00267,74441,100633.97529380100,15,1613,Film,April,Australia,AUD,10,No,43842,18,1
CID_00268,82732,64145.34349657700,51,894,Games,November,Australia,GBP,11,Yes,74803,32,0
CID_00269,77870,66624.55000515030,85,861,Art,November,UK,USD,11,No,9415,12,0
CID_00270,80743,66663.61285799040,77,557,Technology,January,Canada,AUD,15,No,42517,37,0
CID_00271,20268,16155.694673754700,74,417,Film,May,UK,AUD,9,No,59192,24,0
CID_00272,52739,72597.75588172470,87,1366,Technology,February,Germany,USD,7,Yes,45994,34,1
CID_00273,34461,18718.61271687580,84,946,Technology,December,UK,GBP,19,No,5248,27,0
CID_00274,10346,10328.13085165440,79,743,Film,December,Germany,AUD,11,Yes,82870,26,0
CID_00275,48163,55406.05362559560,84,1489,Technology,August,Germany,CAD,19,No,63078,12,1
CID_00276,97116,96575.11569591080,34,1934,Games,June,Australia,CAD,1,Yes,84614,45,0
CID_00277,25955,31225.279073393500,19,955,Games,January,UK,CAD,19,No,57791,41,1
CID_00278,79257,117677.53656642400,58,609,Games,January,Germany,AUD,2,No,70439,10,1
CID_00279,6055,3320.6995707054300,49,662,Games,June,Canada,CAD,2,No,2235,18,0
CID_00280,48897,60413.312534516300,34,1186,Art,November,UK,GBP,6,No,21420,42,1
CID_00281,56285,28759.988265624000,77,1689,Music,April,Canada,CAD,4,No,53800,23,0
CID_00282,60800,62541.81568869320,78,1416,Music,November,Germany,AUD,8,Yes,3312,29,1
CID_00283,30393,25458.57223044390,46,1690,Technology,January,UK,EUR,19,Yes,54114,7,0
CID_00284,66304,98807.63676317660,40,669,Music,June,USA,EUR,5,No,37537,20,1
CID_00285,37871,42051.26538227300,19,1804,Music,October,Canada,AUD,13,No,90091,24,1
CID_00286,5932,5085.904090690400,61,965,Music,March,USA,USD,2,Yes,45207,20,0
CID_00287,24628,25967.521995480500,50,1678,Technology,October,Australia,USD,12,No,24042,10,1
CID_00288,81153,45310.65127202520,78,1383,Film,April,Australia,CAD,1,No,69650,24,0
CID_00289,71231,75741.42401292400,21,147,Technology,July,Canada,AUD,9,No,56473,25,1
CID_00290,56640,75848.78546087040,28,1021,Games,February,Australia,CAD,11,No,27253,30,1
CID_00291,55074,55422.57162995330,48,1592,Games,February,Canada,EUR,14,Yes,68362,22,1
CID_00292,85806,86766.38547205000,29,1810,Film,May,UK,EUR,9,Yes,68818,10,1
CID_00293,60832,36188.16153959990,45,654,Art,June,UK,CAD,8,Yes,69375,17,0
CID_00294,66487,77470.01548928010,78,1514,Technology,April,Australia,EUR,19,No,50808,20,1
CID_00295,28689,29429.91878668430,77,673,Film,December,Australia,EUR,4,Yes,84399,25,1
CID_00296,82581,42177.720608728000,52,568,Art,July,USA,EUR,14,No,18285,27,0
CID_00297,41429,39577.360730327600,36,467,Games,June,UK,EUR,7,Yes,80096,2,0
CID_00298,97669,116518.92448835600,30,743,Technology,July,Germany,EUR,10,No,10875,8,1
